  Stnr Navn                  Hoh  Kommune    Fylke    Region        
  4780 GARDERMOEN             202 ULLENSAKER AKERSHUS ØSTLANDET    
 19710 ASKER                  163 ASKER      AKERSHUS ØSTLANDET
 36200 TORUNGEN_FYR            12 ARENDAL    AUST-AGDER AGDER  
 40880 HOVDEN_LUNDANE         841 BYKLE   AUST-AGDER AGDER 
 24960 GOL_STAKE              542 GOL       BUSKERUD ØSTLANDET      
 28380 KONGSBERG_BRANNSTASJON 170 KONGSBERG BUSKERUD ØSTLANDET  
 93140 ALTA_LUFTHAVN          3 ALTA      FINNMARK NORD-NORGE 
 98400 MAKKAUR_FYR            9 BÅTSFJORD FINNMARK NORD-NORGE   
  700  DREVSJØ              672 ENGERDAL HEDMARK ØSTLANDET        
 7010  RENA_HAUGEDALEN      240 ÅMOT     HEDMARK ØSTLANDET
 25830 FINSEVATN           1210 ULVIK   HORDALAND VESTLANDET  
 50540 BERGEN_FLORIDA        12 BERGEN  HORDALAND VESTLANDET    
 59680 ØRSTA-VOLDA_LUFTHAVN  74 ØRSTA        MØRE_OG_ROMSDAL VESTLANDET        
 64330 KRISTIANSUND_LUFTHAVN 62 KRISTIANSUND MØRE_OG_ROMSDAL VESTLANDET  
 99710 BJØRNØYA              16 BJØRNØYA    SVALBARD  NORGE  
 99840 SVALBARD_LUFTHAVN     28 SPITSBERGEN SVALBARD  NORGE              
 99950 JAN_MAYEN             10 JAN_MAYEN   JAN_MAYEN NORGE 
 84970 EVENES_LUFTHAVN       26 EVENES  NORDLAND NORD-NORGE      
 87110 ANDØYA                10 ANDØY   NORDLAND NORD-NORGE 
 69960 BURAN                182 LEVANGER NORD-TRØNDELAG TRØNDELAG    
 75220 RØRVIK_LUFTHAVN        4 VIKNA    NORD-TRØNDELAG TRØNDELAG              
 12680 LILLEHAMMER          240 LILLEHAMMER OPPLAND ØSTLANDET                    
 16270 HØVRINGEN            935 SEL         OPPLAND ØSTLANDET    
 44640 STAVANGER_VÅLAND      72 STAVANGER ROGALAND VESTLANDET            
 47300 UTSIRA_FYR            55 UTSIRA    ROGALAND VESTLANDET 
 53950 AURLAND_ØYESTØL      973 AURLAND SOGN_OG_FJORDANE VESTLANDET                  
 59450 STADLANDET            75 SELJE   SOGN_OG_FJORDANE VESTLANDET       
 30420 SKIEN_GEITERYGGEN    136 SKIEN   TELEMARK ØSTLANDET         
 34130 JOMFRULAND             5 KRAGERØ TELEMARK ØSTLANDET                 
 88690 HEKKINGEN_FYR         14 LENVIK  TROMS NORD-NORGE 
 90450 TROMSØ               100 TROMSØ  TROMS NORD-NORGE 
 39100 OKSØY_FYR              9 KRISTIANSAND VEST-AGDER AGDER   
 39200 KRISTIANSAND_KVADRATUREN 25 KRISTIANSAND VEST-AGDER AGDER         
 27500 FÆRDER_FYR             6 TJØME   VESTFOLD ØSTLANDET               
 30000 LARVIK                28 LARVIK  VESTFOLD ØSTLANDET  
  1080 HVALER                17 HVALER    ØSTFOLD ØSTLANDET       
  3190 SARPSBORG             57 SARPSBORG ØSTFOLD ØSTLANDET      
 18700 OSLO_BLINDERN         94 OSLO OSLO ØSTLANDET
 18950 TRYVANNSHØGDA        514 OSLO OSLO ØSTLANDET
